target,bug,config,trial,tte_seconds,censored
lnd,malformed_tlv,encrypted_bytes,18,43.117,False
lnd,malformed_tlv,encrypted_bytes,17,51.384,False
lnd,malformed_tlv,encrypted_bytes,19,11.927,False
lnd,malformed_tlv,encrypted_bytes,20,29.453,False
ldk,reachable_unwrap,encrypted_bytes,1,,True
ldk,reachable_unwrap,encrypted_bytes,3,,True
ldk,reachable_unwrap,encrypted_bytes,2,,True
ldk,reachable_unwrap,encrypted_bytes,5,,True
ldk,reachable_unwrap,encrypted_bytes,6,,True
ldk,reachable_unwrap,encrypted_bytes,8,,True
ldk,reachable_unwrap,encrypted_bytes,7,,True
ldk,reachable_unwrap,encrypted_bytes,9,,True
ldk,reachable_unwrap,encrypted_bytes,10,,True
ldk,reachable_unwrap,encrypted_bytes,4,,True
ldk,reachable_unwrap,encrypted_bytes,11,,True
ldk,reachable_unwrap,encrypted_bytes,13,,True
ldk,reachable_unwrap,encrypted_bytes,12,,True
ldk,reachable_unwrap,encrypted_bytes,15,,True
ldk,reachable_unwrap,encrypted_bytes,16,,True
ldk,reachable_unwrap,encrypted_bytes,18,,True
ldk,reachable_unwrap,encrypted_bytes,17,,True
ldk,reachable_unwrap,encrypted_bytes,19,,True
ldk,reachable_unwrap,encrypted_bytes,20,,True
ldk,reachable_unwrap,encrypted_bytes,14,,True
lnd,cupdate_no_htlc,encrypted_bytes,1,,True
lnd,cupdate_no_htlc,encrypted_bytes,2,,True
lnd,cupdate_no_htlc,encrypted_bytes,3,,True
lnd,cupdate_no_htlc,encrypted_bytes,4,,True
lnd,cupdate_no_htlc,encrypted_bytes,6,,True
lnd,cupdate_no_htlc,encrypted_bytes,7,,True
lnd,cupdate_no_htlc,encrypted_bytes,5,,True
lnd,cupdate_no_htlc,encrypted_bytes,8,,True
lnd,cupdate_no_htlc,encrypted_bytes,9,,True
lnd,cupdate_no_htlc,encrypted_bytes,10,,True
lnd,cupdate_no_htlc,encrypted_bytes,11,,True
lnd,cupdate_no_htlc,encrypted_bytes,12,,True
lnd,cupdate_no_htlc,encrypted_bytes,14,,True
lnd,cupdate_no_htlc,encrypted_bytes,13,,True
lnd,cupdate_no_htlc,encrypted_bytes,16,,True
lnd,cupdate_no_htlc,encrypted_bytes,15,,True
lnd,cupdate_no_htlc,encrypted_bytes,17,,True
lnd,cupdate_no_htlc,encrypted_bytes,18,,True
lnd,cupdate_no_htlc,encrypted_bytes,19,,True
lnd,cupdate_no_htlc,encrypted_bytes,20,,True
lnd,zero_timestamp,encrypted_bytes,5,,True
lnd,zero_timestamp,encrypted_bytes,8,,True
lnd,zero_timestamp,encrypted_bytes,2,,True
lnd,zero_timestamp,encrypted_bytes,9,,True
lnd,zero_timestamp,encrypted_bytes,10,,True
lnd,zero_timestamp,encrypted_bytes,1,,True
lnd,zero_timestamp,encrypted_bytes,3,,True
lnd,zero_timestamp,encrypted_bytes,4,,True
lnd,zero_timestamp,encrypted_bytes,7,,True
lnd,zero_timestamp,encrypted_bytes,6,,True
lnd,zero_timestamp,encrypted_bytes,15,,True
lnd,zero_timestamp,encrypted_bytes,18,,True
lnd,zero_timestamp,encrypted_bytes,12,,True
lnd,zero_timestamp,encrypted_bytes,19,,True
lnd,zero_timestamp,encrypted_bytes,20,,True
lnd,zero_timestamp,encrypted_bytes,11,,True
lnd,zero_timestamp,encrypted_bytes,13,,True
lnd,zero_timestamp,encrypted_bytes,14,,True
lnd,zero_timestamp,encrypted_bytes,17,,True
lnd,zero_timestamp,encrypted_bytes,16,,True
cln,malformed_cannounce,ir,2,2.965,False
cln,malformed_cannounce,ir,1,3.13,False
cln,malformed_cannounce,ir,3,1.557,False
cln,malformed_cannounce,ir,5,2.196,False
cln,malformed_cannounce,ir,6,2.666,False
cln,malformed_cannounce,ir,4,3.712,False
cln,malformed_cannounce,ir,7,3.549,False
cln,malformed_cannounce,ir,9,0.631,False
cln,malformed_cannounce,ir,8,3.788,False
cln,malformed_cannounce,ir,10,3.56,False
cln,malformed_cannounce,ir,12,2.609,False
cln,malformed_cannounce,ir,11,3.474,False
cln,malformed_cannounce,ir,13,1.759,False
cln,malformed_cannounce,ir,15,2.525,False
cln,malformed_cannounce,ir,16,2.239,False
cln,malformed_cannounce,ir,14,3.192,False
cln,malformed_cannounce,ir,17,4.152,False
cln,malformed_cannounce,ir,19,0.751,False
cln,malformed_cannounce,ir,18,3.106,False
cln,malformed_cannounce,ir,20,2.848,False
cln,send_tlvs,ir,1,432.553,False
cln,send_tlvs,ir,2,361.687,False
cln,send_tlvs,ir,3,834.525,False
cln,send_tlvs,ir,4,367.853,False
cln,send_tlvs,ir,6,152.193,False
cln,send_tlvs,ir,8,94.987,False
cln,send_tlvs,ir,5,338.924,False
cln,send_tlvs,ir,10,79.12,False
cln,send_tlvs,ir,7,265.555,False
cln,send_tlvs,ir,9,173.997,False
cln,send_tlvs,ir,11,480.134,False
cln,send_tlvs,ir,12,318.285,False
cln,send_tlvs,ir,13,943.013,False
cln,send_tlvs,ir,14,316.354,False
cln,send_tlvs,ir,16,127.842,False
cln,send_tlvs,ir,18,77.889,False
cln,send_tlvs,ir,15,389.763,False
cln,send_tlvs,ir,20,63.296,False
cln,send_tlvs,ir,17,310.699,False
cln,send_tlvs,ir,19,207.056,False
cln,dns_overflow,ir,6,2230.516,False
cln,dns_overflow,ir,7,2346.548,False
cln,dns_overflow,ir,5,2683.364,False
cln,dns_overflow,ir,1,5611.61,False
cln,dns_overflow,ir,2,6587.982,False
cln,dns_overflow,ir,9,8419.703,False
cln,dns_overflow,ir,8,8762.619,False
cln,dns_overflow,ir,10,27416.787,False
cln,dns_overflow,ir,4,27910.042,False
cln,dns_overflow,ir,3,29908.23,False
cln,dns_overflow,ir,16,1873.633,False
cln,dns_overflow,ir,17,2745.461,False
cln,dns_overflow,ir,15,3085.869,False
cln,dns_overflow,ir,11,6228.887,False
cln,dns_overflow,ir,12,5797.424,False
cln,dns_overflow,ir,19,10019.447,False
cln,dns_overflow,ir,18,7185.348,False
cln,dns_overflow,ir,20,21933.43,False
cln,dns_overflow,ir,14,24002.636,False
cln,dns_overflow,ir,13,33796.3,False
eclair,decode_drop,ir,1,1.133,False
eclair,decode_drop,ir,2,7.667,False
eclair,decode_drop,ir,3,1.371,False
eclair,decode_drop,ir,4,1.712,False
eclair,decode_drop,ir,5,0.997,False
eclair,decode_drop,ir,6,3.066,False
eclair,decode_drop,ir,7,2.727,False
